City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
135,Aykhal,RU,66.0,111.5,62.6,48,100,4.47,overcast clouds
136,Fort-Shevchenko,KZ,44.51,50.26,79.68,59,96,13.04,overcast clouds
137,Sembakung,ID,3.82,117.25,74.19,97,100,1.86,overcast clouds
138,Half Moon Bay,US,37.46,-122.43,73.0,82,20,6.93,few clouds
139,Gardenstown,GB,57.67,-2.34,55.99,56,100,1.01,overcast clouds
140,Siguiri,GN,11.67,-9.5,76.19,90,100,4.65,light rain
141,Progreso,MX,21.28,-89.67,95.0,49,75,4.7,broken clouds
142,Luena,AO,-11.78,19.92,59.72,36,43,3.76,scattered clouds
143,Ancud,CL,-41.87,-73.82,55.99,81,75,18.34,broken clouds
144,Madanapalle,IN,13.55,78.5,72.97,73,100,24.11,overcast clouds
145,Garowe,SO,8.41,48.48,81.77,34,0,16.84,clear sky
146,Cidreira,BR,-30.18,-50.21,65.41,64,100,8.93,overcast clouds
147,Hamilton,US,39.18,-84.53,79.0,64,75,10.29,broken clouds
148,Mastic Beach,US,40.77,-72.85,82.0,78,90,14.99,overcast clouds
149,Iqaluit,CA,63.75,-68.51,53.6,76,75,8.05,broken clouds
150,Kantabanji,IN,20.48,82.92,79.99,83,73,4.45,moderate rain
151,Lavrentiya,RU,65.58,-171.0,46.06,72,64,8.57,broken clouds
152,Cherskiy,RU,68.75,161.3,48.51,76,79,3.02,broken clouds
153,Flinders,AU,-34.58,150.86,46.0,84,0,1.01,clear sky
154,East London,ZA,-33.02,27.91,72.57,22,0,8.46,clear sky
155,Saint-Philippe,RE,-21.36,55.77,69.8,60,90,12.75,overcast clouds
156,Praya,CV,14.92,-23.51,84.2,79,20,12.75,few clouds
157,Esperance,AU,-33.87,121.9,48.2,87,59,10.29,light rain
158,De-Kastri,RU,51.47,140.78,55.4,89,100,5.53,overcast clouds
159,Tual,ID,-5.67,132.75,76.96,82,13,17.52,few clouds
160,Virden,US,39.5,-89.77,81.0,68,0,1.01,light rain
161,Provideniya,RU,64.38,-173.3,45.64,62,100,10.76,overcast clouds
162,Hobyo,SO,5.35,48.53,79.02,72,90,27.38,overcast clouds
163,Vrangel,RU,42.73,133.08,67.41,96,100,10.96,light rain
164,Bredasdorp,ZA,-34.53,20.04,51.8,93,0,4.7,clear sky
165,Birin,NP,26.89,88.07,82.4,88,40,1.12,scattered clouds
166,Prince George,CA,53.92,-122.75,77.0,60,1,6.93,clear sky
167,Port Lincoln,AU,-34.73,135.87,52.93,79,100,10.4,overcast clouds
168,Usinsk,RU,65.99,57.53,57.07,93,100,10.16,overcast clouds
169,Puerto Escondido,MX,15.85,-97.07,87.8,62,75,6.93,broken clouds
170,Kletnya,RU,53.39,33.22,54.86,93,0,3.8,clear sky
171,Saint George,US,37.1,-113.58,100.99,15,1,3.36,clear sky
172,Ca Mau,VN,9.18,105.15,77.85,92,100,7.09,moderate rain
173,Peniche,PT,39.36,-9.38,71.01,77,0,14.0,clear sky
174,Talakan,RU,50.32,130.37,66.24,90,100,9.04,light rain
175,Nagykovacsi,HU,47.65,19.02,75.99,56,100,6.93,overcast clouds
176,Kathu,TH,7.92,98.33,84.0,78,75,17.22,broken clouds
177,Viedma,AR,-40.81,-63.0,59.0,45,0,3.0,clear sky
178,Gondal,IN,21.97,70.8,87.01,10,100,9.17,overcast clouds
179,Husavik,IS,66.04,-17.34,53.6,81,90,8.05,overcast clouds
180,Negombo,LK,7.21,79.84,77.0,94,40,5.82,scattered clouds
181,Itacoatiara,BR,-3.14,-58.44,91.4,59,75,5.82,broken clouds
182,Aksu,CN,41.12,80.26,79.39,30,60,8.19,broken clouds
183,Saskylakh,RU,71.92,114.08,60.73,74,43,4.85,light rain
184,Kulhudhuffushi,MV,6.62,73.07,82.36,81,100,19.3,light rain
185,Alta Floresta,BR,-9.88,-56.09,93.2,24,20,4.7,few clouds
186,Los Llanos De Aridane,ES,28.66,-17.92,75.99,78,20,16.11,few clouds
187,Harper,LR,4.38,-7.72,74.35,74,100,5.44,overcast clouds
188,Kadnikov,RU,59.5,40.34,50.4,94,52,3.15,broken clouds
189,Gallup,US,35.53,-108.74,88.0,22,1,13.87,clear sky
190,Katsuura,JP,35.13,140.3,75.2,94,20,5.82,few clouds
191,Carnarvon,AU,-24.87,113.63,59.0,87,2,10.29,clear sky
192,Chara,RU,56.91,118.26,55.87,89,100,2.26,moderate rain
193,Dengfeng,CN,34.46,113.03,82.0,1,1,3.29,clear sky
194,Karabuk,TR,41.2,32.63,62.67,70,0,1.79,clear sky
195,Bilibino,RU,68.05,166.44,45.81,73,100,1.81,overcast clouds
196,Ambon,ID,-3.7,128.18,75.99,16,100,1.01,overcast clouds
197,Mount Gambier,AU,-37.83,140.77,44.6,87,90,9.17,overcast clouds
198,Quelimane,MZ,-17.88,36.89,66.34,88,50,4.68,scattered clouds
199,Constitucion,CL,-35.33,-72.42,60.12,75,1,5.32,clear sky
200,Zhob,PK,31.34,69.45,88.05,27,0,4.38,clear sky
201,Lazarev,RU,52.23,141.51,54.99,87,90,17.25,overcast clouds
202,Guarapari,BR,-20.67,-40.5,75.0,61,2,7.74,clear sky
203,Cuamba,MZ,-14.8,36.54,63.52,77,40,4.5,scattered clouds
204,Tarakan,ID,3.3,117.63,79.02,85,92,6.87,overcast clouds
205,Longyearbyen,SJ,78.22,15.64,48.2,87,20,3.36,few clouds
206,Carbonia,IT,39.17,8.52,89.01,58,0,12.75,clear sky
207,Palmer,US,42.16,-72.33,82.0,65,90,13.87,light rain
208,Dingle,PH,11.0,122.67,76.53,83,100,4.0,overcast clouds
209,Kavaratti,IN,10.57,72.64,82.44,79,100,21.94,light rain
210,Muros,ES,42.78,-9.06,68.0,67,100,10.0,overcast clouds
211,Hasaki,JP,35.73,140.83,69.8,100,20,3.36,few clouds
212,Synya,RU,65.37,58.04,55.35,96,100,5.93,overcast clouds
213,Mason City,US,43.15,-93.2,71.6,64,90,14.99,overcast clouds
214,Wilmington,US,34.23,-77.94,93.2,49,1,10.29,clear sky
215,Hanna,CA,51.63,-111.9,82.0,47,0,11.01,clear sky
216,Piacabucu,BR,-10.41,-36.43,75.63,79,59,10.56,broken clouds
217,Kimbe,PG,-5.55,150.14,76.91,83,11,5.19,few clouds
218,Hailey,US,43.52,-114.32,84.2,26,5,10.29,clear sky
219,Belyy Yar,RU,53.6,91.39,59.0,93,100,2.24,overcast clouds
220,Nanzhang,CN,31.78,111.84,80.65,81,94,4.5,overcast clouds
221,Vanimo,PG,-2.67,141.3,76.28,83,41,3.13,scattered clouds
222,Foix,FR,42.83,1.58,64.99,25,93,5.01,overcast clouds
223,Banda Aceh,ID,5.56,95.32,80.94,73,100,13.42,overcast clouds
224,Tilichiki,RU,60.47,166.1,50.52,81,77,3.49,broken clouds
225,Maraa,BR,-1.83,-65.37,91.56,42,78,3.62,broken clouds
226,Auki,SB,-8.77,160.7,76.75,85,6,4.14,clear sky
227,Gizo,SB,-8.1,156.84,80.85,79,6,8.79,clear sky
228,Maceio,BR,-9.67,-35.74,75.2,88,75,8.05,shower rain
