City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
526,Bida,NG,76.69,light rain,9.08,6.02,Royal Suite
527,Caravelas,BR,73.31,light rain,-17.71,-39.25,Pousada dos Navegantes
529,Pemangkat,ID,77.97,overcast clouds,1.17,108.97,Kost H.Syamsuddin
531,Mingguang,CN,80.65,overcast clouds,32.78,117.96,Yonghao Hotel
532,Qingdao,CN,82.4,light rain,36.1,120.37,Holiday Inn Qingdao City Centre
534,Raypur,IN,89.6,haze,22.41,88.51,Abakash
537,Westport,US,84.0,overcast clouds,41.14,-73.36,The Westport Inn
540,Zharkent,KZ,70.81,clear sky,44.16,80.0,гостиница Satti
542,Cockburn Town,TC,86.0,scattered clouds,21.46,-71.14,Osprey Beach Hotel
543,Magrath,CA,78.8,few clouds,49.42,-112.87,Lindenbaum Bed & Breakfast
544,Hanzhong,CN,73.27,clear sky,33.07,107.03,Guorui Hotel
546,Diego De Almagro,CL,84.47,clear sky,-26.37,-70.05,hotel luna del desierto
549,Pali,IN,84.96,overcast clouds,25.77,73.33,Seervi Hostel
553,Komsomolskiy,UZ,77.0,clear sky,40.43,71.72,Ikathouse
556,Douglas,US,78.8,scattered clouds,41.3,-96.17,Hilton Garden Inn Omaha West
558,Barabai,ID,73.92,light rain,-2.58,115.38,Joko Homestay
559,Matay,EG,88.75,clear sky,28.42,30.78,Nag Aespen
561,Cap-Aux-Meules,CA,77.0,scattered clouds,47.38,-61.86,Auberge Madeli
562,Niimi,JP,75.0,overcast clouds,34.98,133.47,備中路
565,Shenjiamen,CN,81.12,overcast clouds,29.96,122.3,Jinjiang Inn Zhoushan Putuo Shenjiamen
567,Kattivakkam,IN,78.8,thunderstorm with light rain,13.22,80.32,St. Joseph Thirumana mandapam
570,Aden,YE,89.26,clear sky,12.78,45.04,Sama Emirate Hotel
571,Vancouver,CA,75.0,broken clouds,49.25,-123.12,Executive Hotel Vintage Park Vancouver
573,Salima,MW,71.17,broken clouds,-13.78,34.46,YAMIKANI LODGE
578,Monrovia,LR,78.8,broken clouds,6.3,-10.8,Eco-Hotel Hall & Restaurant
583,Maiduguri,NG,77.11,light rain,11.85,13.16,College of Nursing & Midwifery Female's Hostel
587,San Quintin,MX,80.29,clear sky,30.48,-115.95,Old Mill Hotel
588,Shache,CN,74.91,scattered clouds,38.42,77.24,Delong Hotel
592,Biak,ID,75.2,light rain,-0.91,122.88,Kost Ariz
593,Kumano,JP,80.6,broken clouds,34.34,132.59,ホテル コラソン
596,Playa Vicente,MX,87.49,clear sky,17.83,-95.82,"Hotel ""Imperio"""
605,Presidencia Roque Saenz Pena,AR,89.92,clear sky,-26.79,-60.44,Hotel Aconcagua
606,Lac-Au-Saumon,CA,82.99,scattered clouds,48.42,-67.35,Motel Métis Enr.
608,Nishihara,JP,84.2,broken clouds,26.18,127.76,Minshuku Agaihama
611,Hirara,JP,83.52,moderate rain,24.8,125.28,Hotel Atoll Emerald Miyakojima
613,Sarkand,KZ,70.68,overcast clouds,45.41,79.92,Гостиница Сарканд
614,Ichchapuram,IN,84.94,overcast clouds,19.12,84.7,Satsang Kendra Kagar
615,Touros,BR,82.4,scattered clouds,-5.2,-35.46,INN NEW HORIZON
616,Lakatoro,VU,75.2,scattered clouds,-16.1,167.42,Lakatoro Palm Lodge
622,Moron,AR,72.0,overcast clouds,-34.65,-58.62,Hotel Morón
623,Trat,TH,77.09,moderate rain,12.5,102.5,สวนหนิง-อัศ
626,Maryville,US,84.99,overcast clouds,35.76,-83.97,Holiday Inn Express & Suites Alcoa (Knoxville Airport)
627,Boyuibe,BO,88.57,clear sky,-20.42,-63.28,Residencial Eluzai
630,Urumqi,CN,82.99,overcast clouds,43.8,87.6,Hua Ling Grand Hotel Urumqi
632,Tocache,PE,87.44,clear sky,-8.18,-76.51,Marylin Trevejos Rojas
634,High Level,CA,78.8,few clouds,58.52,-117.14,Days Inn by Wyndham High Level
635,Kailua,US,78.8,scattered clouds,21.4,-157.74,Sheffield House Bed & Breakfast
637,Puerto Madero,MX,89.6,scattered clouds,14.72,-92.42,Hotel La Central
639,The Valley,AI,89.6,few clouds,18.22,-63.06,CeBlue Villas & Beach Resort
641,Sile,TR,75.99,clear sky,41.18,29.61,Seref Hotel
642,Spilimbergo,IT,77.0,moderate rain,46.11,12.9,Grand Hotel President
643,Miramar,US,87.01,light rain,25.99,-80.23,Stadium Hotel
645,Pontianak,ID,77.5,overcast clouds,-0.03,109.33,Aston Pontianak Hotel & Convention Center
646,Sabha,LY,88.29,clear sky,27.04,14.43,محطة ام الارانب -سبها مواصلات
652,Gotsu,JP,75.45,overcast clouds,35.0,132.22,Super Hotel Gotsu Ekimae
653,Itajuba,BR,78.8,few clouds,-22.43,-45.45,Hotel Oriente
655,Koulamoutou,GA,75.76,light rain,-1.13,12.47,Motel Biki
661,Requena,ES,82.0,clear sky,39.49,-1.1,Hotel Avenida
663,Veracruz,MX,90.0,scattered clouds,19.33,-96.67,El Carrizal
664,Llorente,PH,81.01,overcast clouds,11.41,125.55,Hagonoy Heights Subdivision
665,Awash,ET,78.35,light rain,8.98,40.17,Kediga hotel
666,Anloga,GH,77.0,few clouds,5.79,0.9,Dey Lodge
669,Beruwala,LK,78.85,moderate rain,6.48,79.98,"Occidental Eden Beruwala, a member of Barceló Hotel Group"
670,Praia,CV,84.2,few clouds,14.92,-23.51,LT Aparthotel
672,Banikoara,BJ,76.37,moderate rain,11.3,2.44,Hôtel de l'UCom CVPC
673,Yinchuan,CN,80.33,overcast clouds,38.47,106.27,JJ Inns - Yinchuan New Moon Square Branch
675,Grand-Santi,GF,82.09,moderate rain,4.25,-54.38,Hotel La Villa Couacou
676,Obera,AR,79.59,clear sky,-27.49,-55.12,CABAÑAS DORALIA
677,Concepcion De Buenos Aires,MX,75.2,scattered clouds,19.97,-103.27,HOTEL CONSTITUCIÓN
682,Razole,IN,82.2,moderate rain,16.48,81.83,Sterling Palavelli Godavari - Resorts and Hotels
